--------- beginning of main
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='Travelxp (720p)', url='{"url":"https://27c980761ff9437d929e64647afe183a.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/RakutenTV-eu_TravelXP/playlist.m3u8","title":"Travelxp (720p)","poster":"https://i.imgur.com/8KQirah.png","nation":"Travel","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Weather' | items count: 1
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='Weatherspy', url='{"url":"https://jukin-weatherspy-2-in.samsung.wurl.tv/playlist.m3u8","title":"Weatherspy","poster":"https://i.imgur.com/KIEKOt1.png","nation":"Weather","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Classic;Movies' | items count: 1
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='ZB Cinema (720p)', url='{"url":"https://server.zillarbarta.com/ZBCINEMA/index.m3u8","title":"ZB Cinema (720p)","poster":"https://i.imgur.com/kUg6WSk.jpeg","nation":"Classic;Movies","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Classic;News' | items count: 1
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='ZillarBarta News (720p)', url='{"url":"https://live-stream.utkalbongo.com/utkalbongo/stream18/hls/zillarbartalive.m3u8","title":"ZillarBarta News (720p)","poster":"https://i.imgur.com/6uestzY.jpeg","nation":"Classic;News","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Uncategorized' | items count: 75
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='IPL', url='{"url":"https://www.tbn24.com/api/video/4026_0.m3u8","title":"IPL","poster":"https://buddytv.netlify.app/img/no-logo.png","nation":"Uncategorized","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Bangla' | items count: 26
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='ATN Bangla', url='{"url":"https://tempx.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/atnbd-8-org.stream/chunks.m3u8","title":"ATN Bangla","poster":"https://dl.dropbox.com/s/a17x59hbhvzf9it/atn_bangla.png","nation":"Bangla","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Pakistani' | items count: 8
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='ARY URDU', url='{"url":"http://208.86.19.13:81/603.stream/index.m3u8","title":"ARY URDU","poster":"https://buddytv.netlify.app/img/no-logo.png","nation":"Pakistani","key":"null","keyid":"null"}'
